id,user,uid,version,changeset,timestamp
316108005,pbfoot06,2281061,1,27297674,2014-12-06T19:40:50Z
316110133,pbfoot06,2281061,1,27297943,2014-12-06T19:52:50Z
316156721,Bike Mapper,74705,1,27303216,2014-12-07T01:10:04Z
316161038,n76,318696,1,27303962,2014-12-07T02:32:50Z
316236586,Bike Mapper,74705,1,27314392,2014-12-07T15:51:15Z
316236596,Bike Mapper,74705,1,27314392,2014-12-07T15:51:16Z
316236606,Bike Mapper,74705,1,27314392,2014-12-07T15:51:17Z
316324897,doug_sfba,1796809,1,27326028,2014-12-08T04:08:53Z
316466230,drrd13,1510410,1,27346897,2014-12-09T01:00:29Z
316475649,pbfoot06,2281061,1,27348573,2014-12-09T04:35:44Z
316660673,nmixter,55774,3,34150553,2015-09-20T22:03:39Z
316742938,nmixter,55774,1,27389622,2014-12-11T01:37:12Z
316742948,nmixter,55774,1,27389622,2014-12-11T01:37:13Z
316742958,nmixter,55774,1,27389622,2014-12-11T01:37:13Z
316742968,nmixter,55774,1,27389622,2014-12-11T01:37:14Z
316742978,nmixter,55774,1,27389622,2014-12-11T01:37:14Z
316742989,nmixter,55774,1,27389622,2014-12-11T01:37:15Z
316742999,nmixter,55774,1,27389622,2014-12-11T01:37:15Z
316743009,nmixter,55774,1,27389622,2014-12-11T01:37:16Z
316743019,nmixter,55774,1,27389622,2014-12-11T01:37:16Z
316743029,nmixter,55774,1,27389622,2014-12-11T01:37:17Z
316743039,nmixter,55774,1,27389622,2014-12-11T01:37:17Z
316743049,nmixter,55774,1,27389622,2014-12-11T01:37:18Z
316893344,stevea,123633,3,27645467,2014-12-23T08:10:52Z
316893356,flierfy,445671,4,32031247,2015-06-17T14:56:00Z
316893367,gormur,103253,2,38051493,2016-03-24T22:16:43Z
316897800,doug_sfba,1796809,1,27413556,2014-12-12T03:38:53Z
316899560,Bike Mapper,74705,1,27414011,2014-12-12T04:34:07Z
316902613,flierfy,445671,3,32031247,2015-06-17T14:55:54Z
316973000,nmixter,55774,1,27426431,2014-12-12T17:20:38Z
316973010,nmixter,55774,1,27426431,2014-12-12T17:20:38Z
316973020,nmixter,55774,1,27426431,2014-12-12T17:20:39Z
316988145,nmixter,55774,1,27428906,2014-12-12T19:42:09Z
316988157,nmixter,55774,1,27428906,2014-12-12T19:42:09Z
316988170,nmixter,55774,1,27428906,2014-12-12T19:42:10Z
316988182,nmixter,55774,1,27428906,2014-12-12T19:42:10Z
316988199,nmixter,55774,1,27428906,2014-12-12T19:42:11Z
316988217,nmixter,55774,1,27428906,2014-12-12T19:42:11Z
316988239,nmixter,55774,1,27428906,2014-12-12T19:42:12Z
316988257,nmixter,55774,1,27428906,2014-12-12T19:42:12Z
316988276,nmixter,55774,1,27428906,2014-12-12T19:42:13Z
316988293,nmixter,55774,1,27428906,2014-12-12T19:42:13Z
316988314,nmixter,55774,1,27428906,2014-12-12T19:42:14Z
316988340,nmixter,55774,1,27428906,2014-12-12T19:42:14Z
316988366,nmixter,55774,1,27428906,2014-12-12T19:42:15Z
316988382,nmixter,55774,1,27428906,2014-12-12T19:42:16Z
316988395,nmixter,55774,1,27428906,2014-12-12T19:42:16Z
316988408,nmixter,55774,1,27428906,2014-12-12T19:42:16Z
